name,longitude,latitude
Lesenepole(Matolwane Health Post,,
Moreomabele Health Post,27.271667,-22.051625
Matlhakola Health Post,27.30901,-22.720745
Ratholo Health Post,,
ACTIVE TOWN PHYSIOTHERAPY,,
PHYSIO CARES,,
RAMSAY PHYSIOTHERAPY & REHABILITATION CLINIC,,
ULTIMATE PHYSIOTHERAPY CLINIC,,
LIFECHARGE PHYSIO & REHAB,25.972972,-24.570031
Manaledi Health Post,,
Schatter & Namder (Lazane Kaplan Clinic,25.919509,-24.592598
SAFARI PHYSIO AND REHABILITATION,,
Ngware Clinic,25.368171,-23.865903
BOKAMOSO PRIVATE HOSPITAL,25.839212,-24.581705
Botlhapatlou Clinic,25.490745,-24.025145
Takatokwane Clinic,25.535139,-24.669472
Moshaweng Clinic,25.519083,-24.414167
Khudumelapye Clinic,24.948106,-23.913621
Ditshegwane Health Post,25.883379,-24.692991
MEDLASS IMAGING,25.911684,-24.670629
Dutlwe Health Post,,
VILLAGE IMAGING,25.942981,-24.668299
KEINEETSE SURGICAL SERVICES,25.922867,-24.637278
MASILO SURGICAL,,
ALEMU GENERAL SURGICAL SERVICES,,
KAPARA SURGICAL SPECIALIST CLINICS,25.837109,-24.581698
LABORDE'S MED SURGERY,25.837089,-24.5817
Kotolaname Health Post,,
SABELSY (PTY LTD,25.837169,-24.581748
Maboane Health Post,24.532009,-24.095842
Monwane Health Post,25.21442,-24.316514
